4.818431431060785641e+00,2.000000000000000000e+00
6.412635161061580824e+00,3.000000000000000000e+00
7.996932644277803703e+00,2.000000000000000000e+00
9.569019315576127838e+00,7.000000000000000000e+00
1.112669932824508656e+01,9.000000000000000000e+00
1.266790184552576548e+01,5.000000000000000000e+00
1.419069473709403084e+01,1.200000000000000000e+01
1.569329552693405461e+01,4.000000000000000000e+00
1.717407953371416340e+01,3.000000000000000000e+00
1.863158523369399688e+01,3.000000000000000000e+00
