3.885293581562793835e-02,7.000000000000000000e+00
7.683515429268948649e-02,4.000000000000000000e+00
1.148173727697510416e-01,7.000000000000000000e+00
1.527995912468125828e-01,1.100000000000000000e+01
1.907818097238741240e-01,7.000000000000000000e+00
2.287640282009356929e-01,4.000000000000000000e+00
2.667462466779971786e-01,5.000000000000000000e+00
3.047284651550588030e-01,3.000000000000000000e+00
3.427106836321203165e-01,1.000000000000000000e+00
3.806929021091818299e-01,1.000000000000000000e+00
